Cod Projeto;Descrição do Item;Disciplina;Hs Orçadas;Hs Programadas;Hs Ajustadas;Hs Executadas;Hs Saldo;Qtde Dias Total;Qtde Dias Percorridos;Saldo em Dias;% dias Percorridos
PCS_20_297;Configuração_Controle_SAGE;Controle/Supervisão;186;110;0;0;110;485;421;64;86.8
PCS_20_297;Configuração_Proteção_SIP5;;0;0;0;53;-53;485;421;64;86.8
PCS_20_297;Configuração_Proteção_SIP5;Proteção/Controle;187;169;0;61;108;485;421;64;86.8
PCS_20_297;Documentação;Desenhista;0;0;0;86.83;-86.83;697;633;64;90.82
PCS_20_297;Documentação;Projetista;506;506;540;190.33;349.67;697;633;64;90.82
PCS_20_297;Documentação;Proteção/Controle;0;0;0;4.5;-4.5;697;633;64;90.82
PCS_20_297;Documentação;Trainee;0;0;0;124.01;-124.01;697;633;64;90.82
PCS_20_297;Montagem_Campo;Eletricista;0;540;0;0;540;697;633;64;90.82
PCS_20_297;Montagem_Campo;Técnico Eletricista;0;0;0;9;-9;697;633;64;90.82
PCS_20_297;Montagem_Painéis;Técnico Eletricista;1000;1000;1000;0;1000;92;92;0;100
PCS_20_297;Outros;Projetista;200;200;200;11;189;422;422;0;100
PCS_20_297;Outros;Técnico Eletricista;0;0;0;141.5;-141.5;422;422;0;100
PCS_20_297;PréTestes_Controle_SAGE;Controle/Supervisão;185;270;0;0;270;363;299;64;82.37
PCS_20_297;PréTestes_Proteção_SIP5;;0;0;0;97;-97;363;299;64;82.37
PCS_20_297;PréTestes_Proteção_SIP5;Proteção/Controle;330;270;0;63;207;363;299;64;82.37
PCS_20_297;TAC_Controle_SAGE;Controle/Supervisão;411;765;0;0;765;243;179;64;73.66
PCS_20_297;TAC_Proteção_SIP5;Proteção/Controle;411;765;0;0;765;243;179;64;73.66
PCS_20_297;TAF_Controle_SAGE;Controle/Supervisão;330;270;0;96.86;173.14;273;209;64;76.56
PCS_20_297;TAF_Proteção_SIP5;Proteção/Controle;0;0;0;44;-44;273;209;64;76.56
PCS_20_297;TAF_Proteção_SIP5;Proteção/Controle;330;270;0;200.73;69.27;273;209;64;76.56
PCS_20_304;Configuração_Controle_STD;Controle/Supervisão;54;117;0;0;117;304;240;64;78.95
PCS_20_304;Configuração_Proteção_SIP5;Proteção/Controle;0;0;0;150;-150;228;228;0;100
PCS_20_304;Configuração_Proteção_SIP5;Proteção/Controle;100;153;0;0;153;228;228;0;100
PCS_20_304;Documentação;Desenhista;0;0;0;45.29;-45.29;364;299;65;82.14
PCS_20_304;Documentação;Projetista;418;418;666;611.71;54.29;364;299;65;82.14
PCS_20_304;Documentação;Trainee;0;0;0;7.13;-7.13;364;299;65;82.14
PCS_20_304;Montagem_Campo;Técnico Eletricista;0;270;0;0;270;182;118;64;64.84
PCS_20_304;Outros;Projetista;200;200;200;0;200;333;333;0;100
PCS_20_304;PréTestes_Proteção_SIP5;Proteção/Controle;176;135;0;0;135;243;179;64;73.66
PCS_20_304;TAC_Controle_STD;Controle/Supervisão;117;405;0;0;405;182;118;64;64.84
PCS_20_304;TAC_Proteção_SIP5;Proteção/Controle;168;540;0;0;540;182;118;64;64.84
PCS_20_304;TAF_Controle_STD;Controle/Supervisão;45;27;0;0;27;212;148;64;69.81
PCS_20_304;TAF_Proteção_SIP5;Proteção/Controle;131;135;0;0;135;212;148;64;69.81
PCS_20_305;Configuração_Controle_SAGE;;0;0;0;34.5;-34.5;1093;1029;64;94.14
PCS_20_305;Configuração_Controle_SAGE;Controle/Supervisão;235;373;0;202;171;1093;1029;64;94.14
PCS_20_305;Configuração_Proteção_SIP5;Proteção/Controle;0;0;0;58.91;-58.91;608;544;64;89.47
